PRODUK_CODE,NAMA_PRODUK,BOM_CODE,MATERIAL_NAME,PERCENTAGE,QTY,SATUAN,STANDARD_COST,WASTE,TOTAL_BIAYA
4010224001.0,WASH GLOVE GREEN TEA 18S @18,3021301005.0,JR FN 80-25 D 50%R/40%P/10%ES 15 CM,,1.7496,KG,29570.37037037037,0.05,54459.28421052632
4010224006.0,WASH GLOVE GREEN TEA 18S @15,3021301005.0,JR FN 80-25 D 50%R/40%P/10%ES 15 CM,,1.458,KG,29570.37037037037,0.05,45382.73684210527
4010224005.0,WASH GLOVE GREEN TEA 18S BND @3X4,3021301005.0,JR FN 80-25 D 50%R/40%P/10%ES 15 CM,,1.1664,KG,29570.37037037037,0.05,36306.18947368421
4010224008.0,WASH GLOVE GREEN TEA 8S @24,3021301005.0,JR FN 80-25 D 50%R/40%P/10%ES 15 CM,,1.0368000000000002,KG,29570.37037037037,0.05,32272.168421052633
4010224002.0,WASH GLOVE BABY POWDERY 20S @18,3020901001.0,JR FN 70-25 D 50%R/42.5%P/7.5%ES 15 CM,,1.701,KG,29538.888888888883,0.05,52890.15789473684
4010224007.0,WASH GLOVE BABY POWDERY 8S @24,3020901001.0,JR FN 70-25 D 50%R/42.5%P/7.5%ES 15 CM,,0.9072,KG,29538.888888888883,0.05,28208.084210526315
4010224003.0,FALMED EXTRA THICK TOWEL 2S @8X16,3020801011.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 15 CM,,1.1232,KG,0,0.05,0.0
4010224004.0,FALMED EXTRA THICK TOWEL 4S @8X10,3020801011.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 15 CM,,1.404,KG,0,0.05,0.0
4010225001.0,FALMED MASKER L BIRU 10S @24X5X10,3030200002.0,JR SPUNBOND MASKER BIRU 16.5 CM,,0.864,KG,42240.54666666666,0.05,38416.66559999999
4010225002.0,FALMED MASKER L BIRU 10S @50X10,3030200002.0,JR SPUNBOND MASKER BIRU 16.5 CM,,0.36,KG,42240.54666666666,0.05,16006.943999999998
4010225017.0,FALMED MASKER L BIRU 12S @48X12,3030200002.0,JR SPUNBOND MASKER BIRU 16.5 CM,,0.41472,KG,42240.54666666666,0.05,18439.999487999998
4010225018.0,FALMED MASKER L BIRU 1S @500,3030200002.0,JR SPUNBOND MASKER BIRU 16.5 CM,,0.36,KG,42240.54666666666,0.05,16006.943999999998
4010225003.0,FALMED MASKER L ABU 10S @50X10,3030100002.0,JR SPUNBOND MASKER ABU 16.5 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225004.0,FALMED MASKER L ORANGE 10S @50X10,3030400002.0,JR SPUNBOND MASKER ORANGE 16.5 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225005.0,FALMED MASKER L PINK 10S @50X10,3030500002.0,JR SPUNBOND MASKER PINK 16.5 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225019.0,FALMED MASKER L PUTIH 1S @500,3030600002.0,JR SPUNBOND MASKER PUTIH 16.5 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225006.0,FALMED MASKER L PUTIH 10S @50X10,3030600002.0,JR SPUNBOND MASKER PUTIH 16.5 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225020.0,FALMED MASKER L BIRU 50S @24X50,3030200002.0,JR SPUNBOND MASKER BIRU 16.5 CM,,0.864,KG,42240.54666666666,0.05,38416.66559999999
4010225021.0,FALMED MASKER L ABU 50S @24X50,3030100002.0,JR SPUNBOND MASKER ABU 16.5 CM,,0.864,KG,42240.54666666666,0.05,38416.66559999999
4010225022.0,FALMED MASKER L PUTIH 50S @24X50,3030600002.0,JR SPUNBOND MASKER PUTIH 16.5 CM,,0.864,KG,42240.54666666666,0.05,38416.66559999999
4010225023.0,FALMED MASKER L PINK 50S @24X50,3030500002.0,JR SPUNBOND MASKER PINK 16.5 CM,,0.864,KG,42240.54666666666,0.05,38416.66559999999
4010225024.0,FALMED MASKER L ORANGE 50S @24X50,3030400002.0,JR SPUNBOND MASKER ORANGE 16.5 CM,,0.864,KG,42240.54666666666,0.05,38416.66559999999
4010225007.0,FALMED MASKER M ABU 10S @50X10,3030100001.0,JR SPUNBOND MASKER ABU 15 CM,,0.31,KG,42240.54666666666,0.05,13783.757333333333
4010225008.0,FALMED MASKER M BIRU 10S @50X10,3030200001.0,JR SPUNBOND MASKER BIRU 15 CM,,0.31,KG,42240.54666666666,0.05,13783.757333333333
4010225009.0,FALMED MASKER M ORANGE 10S @50X10,3030400001.0,JR SPUNBOND MASKER ORANGE 15 CM,,0.31,KG,42240.54666666666,0.05,13783.757333333333
4010225010.0,FALMED MASKER M PINK 10S @50X10,3030500001.0,JR SPUNBOND MASKER PINK 15 CM,,0.31,KG,42240.54666666666,0.05,13783.757333333333
4010225011.0,FALMED MASKER M PUTIH 10S @50X10,3030600001.0,JR SPUNBOND MASKER PUTIH 15 CM,,0.31,KG,42240.54666666666,0.05,13783.757333333333
4010225012.0,FALMED MASKER S ABU 10S @50X10,3030100001.0,JR SPUNBOND MASKER ABU 15 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225013.0,FALMED MASKER S BIRU 10S @50X10,3030200001.0,JR SPUNBOND MASKER BIRU 15 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225014.0,FALMED MASKER S ORANGE 10S @50X10,3030400001.0,JR SPUNBOND MASKER ORANGE 15 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225015.0,FALMED MASKER S PINK 10S @50X10,3030500001.0,JR SPUNBOND MASKER PINK 15 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010225016.0,FALMED MASKER S PUTIH 10S @50X10,3030600001.0,JR SPUNBOND MASKER PUTIH 15 CM,,0.27,KG,42240.54666666666,0.05,12005.208
4010226001.0,FALMED KASSA STERIL 5X4 1S @60X10,3020403002.0,JR FN 45-25D 70% R/30%P 10 CM KS 5X4,,0.216,KG,31987.65432098765,0.05,7272.98245614035
4010226002.0,FALMED KASSA STERIL 5X6 1S @44X10,3020403002.0,JR FN 45-25D 70% R/30%P 10 CM KS 5X4,,0.23760000000000003,KG,31987.65432098765,0.05,8000.280701754387
4010226003.0,FALMED KASSA STERIL 7.5X7.5 1S @48X10,3020403003.0,JR FN 45-25D 70% R/30%P 15.5 CM 7.5X7.5,,0.48599999999999993,KG,31987.65432098765,0.05,16364.210526315786
4010226005.0,FALMED KASSA STERIL 7.5X7.5 1S @10X10,3020403003.0,JR FN 45-25D 70% R/30%P 15.5 CM 7.5X7.5,,0.48599999999999993,KG,31987.65432098765,0.05,16364.210526315786
4010226004.0,FALMED KASSA NONWOVEN  @560,,,,,,,,
4010227001.0,FALMED ALCOHOL SWAB 3X6 1S @48,3021600001.0,JR SFBR 50-60 3 CM (ALCOHOL SWAB),,0.0,KG,0,0.05,0.0
4010228001.0,FALMED DRY GLOVE 25S @12,3021201001.0,JR FN 80-14 H 50%R/40%P/10%ES 15 CM,,3.24,KG,29570.37037037037,0.05,100850.52631578948
4010229001.0,FALMED BED SHEET 1S @20,,,,,,,,
4010229002.0,FALMED BED SHEET (MICROPORUS) 1S @20,,,,,,,,
4010301001.0,VOLARE MAKE UP REMOVER 10S @108,3020302004.0,JR FN 40-76 H 50% R/50%P 30 CM,,1.01088,KG,29444.444444444445,0.05,31331.368421052633
4010302001.0,VOLARE FEMININE HYGIENE 10S @108,,,,,,,,
4010304001.0,VOLARE HAND & MOUTH FG 30S @54,3020503002.0,JR FN 45-76 H 50% R/50%P 15 CM,,2.1869999999999994,KG,29444.444444444445,0.05,67784.21052631577
4010304006.0,VOLARE HAND & MOUTH FG 30S @48,3020503002.0,JR FN 45-76 H 50% R/50%P 15 CM,,1.9439999999999997,KG,29444.444444444445,0.05,60252.63157894737
